06/28/2012 00:00:00,3701,4
06/28/2012 00:00:00,6001,13
06/28/2012 00:00:00,13001,4
06/28/2012 00:00:00,13101,0
06/28/2012 00:00:00,13301,0
06/28/2012 00:00:00,13501,6
06/28/2012 00:00:00,13601,0
06/28/2012 00:00:00,24001,11
06/28/2012 00:05:00,3701,3
06/28/2012 00:05:00,6001,14
06/28/2012 00:05:00,13001,4
06/28/2012 00:05:00,13101,0
06/28/2012 00:05:00,13301,4
06/28/2012 00:05:00,13501,6
06/28/2012 00:05:00,13601,0
06/28/2012 00:05:00,24001,8
06/28/2012 00:10:00,3701,0
06/28/2012 00:10:00,6001,8
06/28/2012 00:10:00,13001,10
06/28/2012 00:10:00,13101,0
06/28/2012 00:10:00,13301,4
06/28/2012 00:10:00,13501,3
06/28/2012 00:10:00,13601,1
06/28/2012 00:10:00,24001,9
06/28/2012 00:15:00,3701,3
06/28/2012 00:15:00,6001,13
06/28/2012 00:15:00,13001,8
06/28/2012 00:15:00,13101,0
06/28/2012 00:15:00,13301,0
06/28/2012 00:15:00,13501,4
06/28/2012 00:15:00,13601,0
06/28/2012 00:15:00,24001,13
06/28/2012 00:20:00,3701,1
06/28/2012 00:20:00,6001,12
06/28/2012 00:20:00,13001,6
06/28/2012 00:20:00,13101,0
06/28/2012 00:20:00,13301,1
06/28/2012 00:20:00,13501,6
06/28/2012 00:20:00,13601,0
06/28/2012 00:20:00,24001,10
06/28/2012 00:25:00,3701,0
06/28/2012 00:25:00,6001,10
06/28/2012 00:25:00,13001,2
06/28/2012 00:25:00,13101,0
06/28/2012 00:25:00,13301,1
06/28/2012 00:25:00,13501,4
06/28/2012 00:25:00,13601,0
06/28/2012 00:25:00,24001,6
06/28/2012 00:30:00,3701,2
06/28/2012 00:30:00,6001,4
06/28/2012 00:30:00,13001,3
06/28/2012 00:30:00,13101,0
06/28/2012 00:30:00,13301,3
06/28/2012 00:30:00,13501,6
06/28/2012 00:30:00,13601,0
06/28/2012 00:30:00,24001,8
06/28/2012 00:35:00,3701,2
06/28/2012 00:35:00,6001,6
06/28/2012 00:35:00,13001,2
06/28/2012 00:35:00,13101,0
06/28/2012 00:35:00,13301,0
06/28/2012 00:35:00,13501,1
06/28/2012 00:35:00,13601,2
06/28/2012 00:35:00,24001,11
06/28/2012 00:40:00,3701,0
06/28/2012 00:40:00,6001,10
06/28/2012 00:40:00,13001,2
